department,course_title,meeting_type,weekdays,start_time,end_time,class_time,room,building
COM,Princ of Oral Communication,lecture,TR,0815,0930,0815 - 0930am,B027,Chambers Building
COM,Princ of Oral Communication,lecture,MWF,1230,1320,1230 - 0120pm,B027,Chambers Building
COM,Communication Research Methods,lecture,MW,1430,1545,0230 - 0345pm,1003,Chambers Building
COM,"Politics, Race, & US Media",lecture,TR,1340,1455,0140 - 0255pm,1027,Chambers Building
COM,Organizational Communication,lecture,MWF,1130,1220,1130 - 1220pm,1006,Chambers Building
COM,Exploring Fake News,lecture,TR,1505,1620,0305 - 0420pm,1046,Chambers Building
COM,Rhetorics of Justice & Equal,lecture,TR,1215,1330,1215 - 0130pm,2196,Chambers Building
COM,Research Ethics,lecture,F,1330,1620,0130 - 0420pm,307,Wall Academic Center
COM,Comm Theory & Research,lecture,R,1340,1620,0140 - 0420pm,2187,Chambers Building
COM,Thesis Research,lecture,,,,TBA ,,
COM,Introduction to Dance Studies,second meeting time,MWF,1030,1120,1030 - 1120am,1102,Baker Sports Complex
COM,Introduction to Dance Studies,lecture,MWF,1030,1120,1030 - 1120am,109,Watson Life Sciences Building
COM,Reason and Argument,lecture,TR,0815,0930,0815 - 0930am,1027,Chambers Building
COM,Political Philosophy,lecture,TR,1340,1455,0140 - 0255pm,1003,Chambers Building
COM,The Presidency,lecture,MWF,1030,1120,1030 - 1120am,3155,Chambers Building
COM,Campaign Strategy,lecture,MWF,1130,1220,1130 - 1220pm,3155,Chambers Building
COM,Global Environmental Politics,lecture,TR,1340,1455,0140 - 0255pm,3084,Chambers Building
COM,Racial and Ethnic Relations,lecture,MWF,1130,1220,1130 - 1220pm,140,Watson Life Sciences Building
COM,Social Movements,lecture,TR,1215,1330,1215 - 0130pm,2084,Chambers Building
CSC,Data Science & Society,lecture,MW,1430,1545,0230 - 0345pm,132,Watson Life Sciences Building
CSC,Programming & Problem Solving,lecture,MW,0805,0920,0805 - 0920am,132,Watson Life Sciences Building
CSC,Programming & Problem Solving,lecture,TR,0940,1055,0940 - 1055am,247,Watson Life Sciences Building
CSC,Programming & Problem Solving,lecture,TR,1505,1620,0305 - 0420pm,132,Watson Life Sciences Building
CSC,Discrete Structures,lecture,TR,0940,1055,0940 - 1055am,243,Watson Life Sciences Building
CSC,Data Structures,lecture,MWF,0930,1020,0930 - 1020am,132,Watson Life Sciences Building
CSC,Data Structures,lecture,MWF,1030,1120,1030 - 1120am,132,Watson Life Sciences Building
CSC,Data Structures,lecture,MWF,1330,1420,0130 - 0220pm,132,Watson Life Sciences Building
CSC,Computer Organization,lecture,TR,0815,0930,0815 - 0930am,243,Watson Life Sciences Building
CSC,Software Design,lecture,TR,0940,1055,0940 - 1055am,157,Watson Life Sciences Building
CSC,Analysis of Algorithms,lecture,TR,0815,0930,0815 - 0930am,2234,Chambers Building
CSC,Database Systems,lecture,MWF,0930,1020,0930 - 1020am,243,Watson Life Sciences Building
CSC,Database Systems,lecture,MWF,1030,1120,1030 - 1120am,243,Watson Life Sciences Building
CSC,Real-Time Systems,lecture,TR,1215,1330,1215 - 0130pm,147,Watson Life Sciences Building
CSC,Data Visualization,lecture,MW,1430,1545,0230 - 0345pm,247,Watson Life Sciences Building
CSC,Image Processing,lecture,TR,1340,1455,0140 - 0255pm,247,Watson Life Sciences Building
CSC,The Test Code Quality Analysis,lecture,,,,TBA ,,
CSC,RL for LLMs,lecture,,,,TBA ,,
CSC,JIT Compiler Visualization Dev,lecture,,,,TBA ,,
CSC,VR Independent Research,lecture,,,,TBA ,,
CSC,Machine Learning Systems,lecture,,,,TBA ,,
CSC,Data Analysis and VR research,lecture,,,,TBA ,,
CSC,Reverse Engineering JIT Code,lecture,,,,TBA ,,
CSC,Computer Architecture & FPGAs,lecture,,,,TBA ,,
CSC,Deep Learning for Nuclear Phy,lecture,,,,TBA ,,
CSC,Multiparty Computation - SPDZ,lecture,,,,TBA ,,
CSC,Mathematical Modeling,lecture,MWF,1230,1320,1230 - 0120pm,3155,Chambers Building
CSC,Mathematical Modeling,lecture,MWF,1330,1420,0130 - 0220pm,3155,Chambers Building
CSC,Numerical Analysis,lecture,TR,1215,1330,1215 - 0130pm,B05,Wall Academic Center
CSC,Computational Physics,lecture,TR,1340,1455,0140 - 0255pm,B05,Wall Academic Center
CIS,The Art & Practice of Reading,lecture,MWF,1030,1220,1030 - 1220pm,1045,Chambers Building
CIS,Thesis II,lecture,,,,TBA ,,
DAN,Introduction to Dance Studies,second meeting time,MWF,1030,1120,1030 - 1120am,1102,Baker Sports Complex
DAN,Introduction to Dance Studies,lecture,MWF,1030,1120,1030 - 1120am,109,Watson Life Sciences Building
DAN,Movement Lab,lecture,MW,0930,1120,0930 - 1120am,1100,Baker Sports Complex
DAN,Odissi Dance Technique I,lecture,MW,1430,1620,0230 - 0420pm,1100,Baker Sports Complex
DAN,Dance Composition,lecture,MW,1130,1320,1130 - 0120pm,1100,Baker Sports Complex
DAN,Dance on Screen,lecture,MWF,1230,1320,1230 - 0120pm,1086,Chambers Building
DAN,Adv Dance Composition,lecture,MW,1130,1320,1130 - 0120pm,1100,Baker Sports Complex
EAS,Asian Art After 1000,lecture,TR,1215,1330,1215 - 0130pm,117,Visual Arts Center
EAS,The Arts Along the Silk Roads,lecture,MW,1430,1545,0230 - 0345pm,117,Visual Arts Center
EAS,Elementary Chinese II,lecture,MWF,0930,1020,0930 - 1020am,B027,Chambers Building
EAS,Elementary Chinese II,lecture,MWF,1030,1120,1030 - 1120am,B027,Chambers Building
EAS,Intermediate Chinese II,lecture,MWF,1330,1420,0130 - 0220pm,2187,Chambers Building
EAS,Engendering Chinese Cinema,lecture,W,1330,1620,0130 - 0420pm,3068,Chambers Building
EAS,Advanced Chinese II,lecture,TR,1215,1330,1215 - 0130pm,3209,Chambers Building
EAS,Advanced Chinese,lecture,TR,1340,1455,0140 - 0255pm,3209,Chambers Building
EAS,Stats & Basic Econometrics,second meeting time,T,1340,1455,0140 - 0255pm,2187,Chambers Building
EAS,Stats & Basic Econometrics,lecture,MWF,0930,1020,0930 - 1020am,2084,Chambers Building
EAS,Stats & Basic Econometrics,second meeting time,T,1505,1620,0305 - 0420pm,2068,Chambers Building
EAS,Stats & Basic Econometrics,lecture,MWF,1130,1220,1130 - 1220pm,2234,Chambers Building
EAS,Econometrics,second meeting time,R,1340,1455,0140 - 0255pm,108,Visual Arts Center
EAS,Econometrics,lecture,TR,0815,0930,0815 - 0930am,2198,Chambers Building
EAS,Econometrics,second meeting time,R,1505,1620,0305 - 0420pm,117,Visual Arts Center
EAS,Econometrics,lecture,TR,0940,1055,0940 - 1055am,2198,Chambers Building
EAS,Modern East Asia,lecture,MWF,0930,1020,0930 - 1020am,3106,Chambers Building
EAS,Modern China,lecture,MWF,1330,1420,0130 - 0220pm,3106,Chambers Building
EAS,Intro to Research Methods,second meeting time,W,1430,1545,0230 - 0345pm,B05,Wall Academic Center
EAS,Intro to Research Methods,lecture,MWF,1030,1120,1030 - 1120am,B05,Wall Academic Center
EAS,Intro to Research Methods,second meeting time,R,1505,1620,0305 - 0420pm,B05,Wall Academic Center
EAS,Intro to Research Methods,lecture,MWF,1130,1220,1130 - 1220pm,B05,Wall Academic Center
EAS,The IR of the Asia Pacific,lecture,TR,0940,1055,0940 - 1055am,1027,Chambers Building
EAS,Rise of China,lecture,R,1340,1620,0140 - 0420pm,2209,Chambers Building
EAS,Buddhism,lecture,MWF,1330,1420,0130 - 0220pm,1006,Chambers Building
EAS,What is religion good for?,lecture,MW,1430,1545,0230 - 0345pm,2209,Chambers Building
EAS,Survey Research Methods,lecture,TR,1340,1455,0140 - 0255pm,2084,Chambers Building
ECO,Introductory Economics,lecture,TR,0940,1055,0940 - 1055am,146,Dana Science Building
ECO,Introductory Economics,lecture,TR,1215,1330,1215 - 0130pm,146,Dana Science Building
ECO,Introductory Economics,lecture,MWF,1330,1420,0130 - 0220pm,2084,Chambers Building
